workload_id,stage_workload,candidate_class,angle_deg,frame_class,rtl_top,tile_w,tile_h,set_num,way_num,merge_max_x,fifo_depth,lead_pixels,runtime_lead_pixels,runtime_merge_max_x_eff,runtime_merge_min_x,runtime_fifo_depth_eff,runtime_fifo_age_limit,runtime_prefetch_throttle_cycles,runtime_scheduler_policy,score
proxy1024_r0_lead48,proxy1024_r0,lead48,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,32,2,4,16,48,48,4,1,16,0,0,0,0
proxy1024_r0_lead96,proxy1024_r0,lead96,0,proxy1024,tb_image_geo_top_perf_single_proxy_rotate0_on,8,8,32,2,4,16,96,96,4,1,16,0,0,0,1
proxy1024_r75_lead48,proxy1024_r75,lead48,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,32,2,4,16,48,48,4,1,16,0,0,0,2
proxy1024_r75_lead96,proxy1024_r75,lead96,75,proxy1024,tb_image_geo_top_perf_single_proxy_rotate75_on,8,8,32,2,4,16,96,96,4,1,16,0,0,0,3
proxy1024_r90_lead48,proxy1024_r90,lead48,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,32,2,4,16,48,48,4,1,16,0,0,0,4
proxy1024_r90_lead96,proxy1024_r90,lead96,90,proxy1024,tb_image_geo_top_perf_single_proxy_rotate90_on,8,8,32,2,4,16,96,96,4,1,16,0,0,0,5
