workload_id,stage_workload,candidate_class,angle_deg,frame_class,rtl_top,tile_w,tile_h,set_num,way_num,merge_max_x,fifo_depth,lead_pixels,runtime_lead_pixels,runtime_merge_max_x_eff,runtime_merge_min_x,runtime_fifo_depth_eff,runtime_fifo_age_limit,runtime_prefetch_throttle_cycles,runtime_scheduler_policy,score
cal128_r45_sanity_bad,cal128_r45,sanity_bad,45,cal128,tb_image_geo_top_perf_single_cal128_rotate45_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,29
cal128_r75_default,cal128_r75,default,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,30
cal128_r75_model_top1,cal128_r75,model_top1,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,31
cal128_r75_model_top2,cal128_r75,model_top2,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,32
cal128_r75_policy1_merge_min_age,cal128_r75,policy1_merge_min_age,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,33
cal128_r75_policy2_throttle,cal128_r75,policy2_throttle,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,34
cal128_r75_sanity_bad,cal128_r75,sanity_bad,75,cal128,tb_image_geo_top_perf_single_cal128_rotate75_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,35
cal128_r90_default,cal128_r90,default,90,cal128,tb_image_geo_top_perf_single_cal128_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,36
cal128_r90_model_top1,cal128_r90,model_top1,90,cal128,tb_image_geo_top_perf_single_cal128_rotate90_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,37
cal128_r90_model_top2,cal128_r90,model_top2,90,cal128,tb_image_geo_top_perf_single_cal128_rotate90_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,38
cal128_r90_policy1_merge_min_age,cal128_r90,policy1_merge_min_age,90,cal128,tb_image_geo_top_perf_single_cal128_rotate90_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,39
cal128_r90_policy2_throttle,cal128_r90,policy2_throttle,90,cal128,tb_image_geo_top_perf_single_cal128_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,40
cal128_r90_sanity_bad,cal128_r90,sanity_bad,90,cal128,tb_image_geo_top_perf_single_cal128_rotate90_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,41
cal256_r0_default,cal256_r0,default,0,cal256,tb_image_geo_top_perf_single_cal256_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,42
cal256_r0_model_top1,cal256_r0,model_top1,0,cal256,tb_image_geo_top_perf_single_cal256_rotate0_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,43
cal256_r0_model_top2,cal256_r0,model_top2,0,cal256,tb_image_geo_top_perf_single_cal256_rotate0_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,44
cal256_r0_policy1_merge_min_age,cal256_r0,policy1_merge_min_age,0,cal256,tb_image_geo_top_perf_single_cal256_rotate0_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,45
cal256_r0_policy2_throttle,cal256_r0,policy2_throttle,0,cal256,tb_image_geo_top_perf_single_cal256_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,46
cal256_r0_sanity_bad,cal256_r0,sanity_bad,0,cal256,tb_image_geo_top_perf_single_cal256_rotate0_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,47
cal256_r15_default,cal256_r15,default,15,cal256,tb_image_geo_top_perf_single_cal256_rotate15_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,48
cal256_r15_model_top1,cal256_r15,model_top1,15,cal256,tb_image_geo_top_perf_single_cal256_rotate15_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,49
cal256_r15_model_top2,cal256_r15,model_top2,15,cal256,tb_image_geo_top_perf_single_cal256_rotate15_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,50
cal256_r15_policy1_merge_min_age,cal256_r15,policy1_merge_min_age,15,cal256,tb_image_geo_top_perf_single_cal256_rotate15_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,51
cal256_r15_policy2_throttle,cal256_r15,policy2_throttle,15,cal256,tb_image_geo_top_perf_single_cal256_rotate15_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,52
